Timestamp,Alloc(MiB),TotalAlloc(MiB),Sys(MiB),NumGC
%!s(int64=1732408713),2777632,2777632,12032104,0
%!s(int64=1732408713),2777760,2777760,12032104,0
%!s(int64=1732408713),2777888,2777888,12032104,0
%!s(int64=1732408713),2778016,2778016,12032104,0
%!s(int64=1732408713),2780192,2780192,12032104,0
%!s(int64=1732408713),2780320,2780320,12032104,0
%!s(int64=1732408714),2780448,2780448,12032104,0
%!s(int64=1732408714),2780576,2780576,12032104,0
%!s(int64=1732408714),2780704,2780704,12032104,0
%!s(int64=1732408714),2780832,2780832,12032104,0
%!s(int64=1732408714),2780992,2780992,12032104,0
%!s(int64=1732408714),2806344,2806344,12032104,0
%!s(int64=1732408714),2806472,2806472,12032104,0
%!s(int64=1732408714),2806600,2806600,12032104,0
%!s(int64=1732408714),2806728,2806728,12032104,0
%!s(int64=1732408714),2806856,2806856,12032104,0
%!s(int64=1732408715),2806984,2806984,12032104,0
%!s(int64=1732408715),2807112,2807112,12032104,0
%!s(int64=1732408715),2807240,2807240,12032104,0
%!s(int64=1732408715),2807368,2807368,12032104,0
%!s(int64=1732408715),2807496,2807496,12032104,0
%!s(int64=1732408715),2807624,2807624,12032104,0
%!s(int64=1732408715),2807752,2807752,12032104,0
%!s(int64=1732408715),2807880,2807880,12032104,0
%!s(int64=1732408715),2808008,2808008,12032104,0
%!s(int64=1732408715),2808136,2808136,12032104,0
%!s(int64=1732408716),2808264,2808264,12032104,0
%!s(int64=1732408716),2808392,2808392,12032104,0
%!s(int64=1732408716),2808520,2808520,12032104,0
%!s(int64=1732408716),2808648,2808648,12032104,0
%!s(int64=1732408716),2808776,2808776,12032104,0
%!s(int64=1732408716),2808904,2808904,12032104,0
%!s(int64=1732408716),2809032,2809032,12032104,0
%!s(int64=1732408716),2809160,2809160,12032104,0
%!s(int64=1732408716),2809288,2809288,12032104,0
%!s(int64=1732408716),2809416,2809416,12032104,0
%!s(int64=1732408717),2809544,2809544,12032104,0
%!s(int64=1732408717),2809672,2809672,12032104,0
%!s(int64=1732408717),2809800,2809800,12032104,0
%!s(int64=1732408717),2809928,2809928,12032104,0
%!s(int64=1732408717),2810056,2810056,12032104,0
%!s(int64=1732408717),2810184,2810184,12032104,0
%!s(int64=1732408717),2810312,2810312,12032104,0
%!s(int64=1732408717),2810440,2810440,12032104,0
%!s(int64=1732408717),2810568,2810568,12032104,0
%!s(int64=1732408717),2810696,2810696,12032104,0
%!s(int64=1732408718),2810824,2810824,12032104,0
%!s(int64=1732408718),2810952,2810952,12032104,0
%!s(int64=1732408718),2811080,2811080,12032104,0
%!s(int64=1732408718),2811208,2811208,12032104,0
%!s(int64=1732408718),2811336,2811336,12032104,0
%!s(int64=1732408718),2811464,2811464,12032104,0
%!s(int64=1732408718),2811592,2811592,12032104,0
%!s(int64=1732408718),2811720,2811720,12032104,0
%!s(int64=1732408718),2811848,2811848,12032104,0
%!s(int64=1732408718),2811976,2811976,12032104,0
%!s(int64=1732408719),2812104,2812104,12032104,0
%!s(int64=1732408719),2812232,2812232,12032104,0
%!s(int64=1732408719),2812360,2812360,12032104,0
%!s(int64=1732408719),2812488,2812488,12032104,0
%!s(int64=1732408719),2812616,2812616,12032104,0
%!s(int64=1732408719),2831328,2831328,12032104,0
%!s(int64=1732408719),2831472,2831472,12032104,0
%!s(int64=1732408719),2831600,2831600,12032104,0
%!s(int64=1732408719),2831728,2831728,12032104,0
